date,country_code,indicator_code,value
2017-07-01,WS,001,-0.098
2017-04-01,WS,001,-0.262
2017-01-01,WS,001,-0.505
2016-10-01,WS,001,0.21
2016-07-01,WS,001,0.313
2016-04-01,WS,001,0.006
2016-01-01,WS,001,-0.141
2015-10-01,WS,001,0.212
2015-07-01,WS,001,0.304
2015-04-01,WS,001,0.267
2015-01-01,WS,001,-0.232
2014-10-01,WS,001,0.204
2014-07-01,WS,001,0.118
2014-04-01,WS,001,0.212
2014-01-01,WS,001,-0.075
2013-10-01,WS,001,-0.284
2013-07-01,WS,001,0.047
2013-04-01,WS,001,-0.036
2013-01-01,WS,001,-0.01
2012-10-01,WS,001,0.058
2012-07-01,WS,001,0.2
2012-04-01,WS,001,-0.052
2012-01-01,WS,001,-0.127
2011-10-01,WS,001,0.04
2011-07-01,WS,001,0.219
2011-04-01,WS,001,0.139
2011-01-01,WS,001,0.211
2010-10-01,WS,001,0.424
2010-07-01,WS,001,0.454
2018-01-01,WS,004,-321.0
2017-01-01,WS,004,-326.0
2016-01-01,WS,004,-389.0
2015-01-01,WS,004,-407.0
2014-01-01,WS,004,-468.0
2013-01-01,WS,004,-400.0
2012-01-01,WS,004,-508.0
2011-01-01,WS,004,-441.0
2010-01-01,WS,004,-399.0
2009-01-01,WS,004,-343.0
2008-01-01,WS,004,-308.0
2007-01-01,WS,004,-372.0
2006-01-01,WS,004,-323.0
2005-01-01,WS,004,-248.0
2004-01-01,WS,004,-168.0
2003-01-01,WS,004,-149.0
2002-01-01,WS,004,-191.0
2020-02-01,WS,005,8.91
2020-01-01,WS,005,8.88
2019-12-01,WS,005,8.79
2019-11-01,WS,005,8.81
2019-10-01,WS,005,8.84
2019-09-01,WS,005,8.84
2019-08-01,WS,005,8.88
2019-07-01,WS,005,8.95
2019-06-01,WS,005,8.97
2019-05-01,WS,005,8.97
2019-04-01,WS,005,9.02
2019-03-01,WS,005,9.05
2019-02-01,WS,005,9.02
2019-01-01,WS,005,9.01
2018-12-01,WS,005,9.03
2018-11-01,WS,005,9.03
2018-10-01,WS,005,9.01
2018-09-01,WS,005,8.98
2018-08-01,WS,005,8.96
2018-07-01,WS,005,8.99
2018-06-01,WS,005,8.98
2018-05-01,WS,005,8.89
2018-04-01,WS,005,8.85
2018-03-01,WS,005,8.89
2018-02-01,WS,005,8.89
2018-01-01,WS,005,8.9
2017-12-01,WS,005,8.88
2017-11-01,WS,005,8.9
2017-10-01,WS,005,8.8
2017-09-01,WS,005,8.8
2017-08-01,WS,005,8.78
2017-07-01,WS,005,8.7
2017-06-01,WS,005,8.64
2017-05-01,WS,005,8.62
2017-04-01,WS,005,8.68
2017-03-01,WS,005,8.68
2017-02-01,WS,005,8.81
2017-01-01,WS,005,8.85
2016-12-01,WS,005,8.89
2016-11-01,WS,005,8.82
2016-10-01,WS,005,8.86
2016-09-01,WS,005,8.86
2016-08-01,WS,005,8.97
2016-07-01,WS,005,9.07
2016-06-01,WS,005,9.04
2016-05-01,WS,005,9.21
2016-04-01,WS,005,9.35
2016-03-01,WS,005,9.3
2016-02-01,WS,005,9.35
2016-01-01,WS,005,9.38
2015-12-01,WS,005,9.42
2015-11-01,WS,005,9.43
2015-10-01,WS,005,9.43
2015-09-01,WS,005,9.4
2015-08-01,WS,005,9.41
2015-07-01,WS,005,9.52
2015-06-01,WS,005,9.57
2015-05-01,WS,005,9.55
2015-04-01,WS,005,9.57
2015-03-01,WS,005,9.58
2015-02-01,WS,005,9.59
2015-01-01,WS,005,9.63
2014-12-01,WS,005,9.62
2014-11-01,WS,005,9.62
2014-10-01,WS,005,9.58
2014-09-01,WS,005,9.79
2014-08-01,WS,005,9.99
2014-07-01,WS,005,10.11
2014-06-01,WS,005,10.28
2014-05-01,WS,005,10.32
2014-04-01,WS,005,10.24
2014-03-01,WS,005,10.21
2014-02-01,WS,005,10.2
2014-01-01,WS,005,10.22
2013-12-01,WS,005,10.21
2013-11-01,WS,005,10.23
2013-10-01,WS,005,10.22
2013-09-01,WS,005,10.19
2013-08-01,WS,005,10.19
2013-07-01,WS,005,10.21
2013-06-01,WS,005,10.17
2013-05-01,WS,005,10.21
2013-04-01,WS,005,10.22
2013-03-01,WS,005,10.22
2013-02-01,WS,005,10.21
2013-01-01,WS,005,10.13
