date,country_code,indicator_code,value
2019-10-01,XK,001,-9.7
2019-07-01,XK,001,24.7
2019-04-01,XK,001,16.3
2019-01-01,XK,001,-8.0
2018-10-01,XK,001,1.4
2018-07-01,XK,001,6.0
2018-04-01,XK,001,-0.8
2018-01-01,XK,001,-14.565
2017-10-01,XK,001,-8.746
2017-07-01,XK,001,8.103
2017-04-01,XK,001,9.381
2017-01-01,XK,001,-2.262
2016-10-01,XK,001,3.304
2016-07-01,XK,001,18.491
2016-04-01,XK,001,28.021
2018-01-01,XK,002,29.4
2017-01-01,XK,002,30.3
2016-01-01,XK,002,27.5
2015-01-01,XK,002,32.9
2014-01-01,XK,002,35.2
2012-01-01,XK,002,30.9
2009-01-01,XK,002,45.4
2008-01-01,XK,002,47.5
2007-01-01,XK,002,46.3
2006-01-01,XK,002,44.9
2005-01-01,XK,002,41.4
2004-01-01,XK,002,39.7
2003-01-01,XK,002,49.7
2002-01-01,XK,002,55.0
2001-01-01,XK,002,57.0
2018-01-01,XK,004,-1960.0
2017-01-01,XK,004,-1660.0
2016-01-01,XK,004,-1652.0
2015-01-01,XK,004,-1652.0
2014-01-01,XK,004,-1599.0
2013-01-01,XK,004,-1477.0
2012-01-01,XK,004,-1550.0
2011-01-01,XK,004,-1655.0
2010-01-01,XK,004,-1565.0
2009-01-01,XK,004,-1419.0
2008-01-01,XK,004,-1498.0
2007-01-01,XK,004,-1242.0
2006-01-01,XK,004,-1144.0
2005-01-01,XK,004,-1087.0
2004-01-01,XK,004,-1002.0
2003-01-01,XK,004,-1080.0
2002-01-01,XK,004,-1038.0
2019-07-01,XK,005,6.35
2019-06-01,XK,005,6.34
2019-05-01,XK,005,6.35
2019-04-01,XK,005,6.65
2019-03-01,XK,005,6.71
2019-02-01,XK,005,6.81
2019-01-01,XK,005,6.71
2018-12-01,XK,005,5.99
2018-11-01,XK,005,6.43
2018-10-01,XK,005,6.61
2018-09-01,XK,005,6.99
2018-08-01,XK,005,6.35
2018-07-01,XK,005,6.68
2018-06-01,XK,005,6.53
2018-05-01,XK,005,6.84
2018-04-01,XK,005,6.62
2018-03-01,XK,005,6.81
2018-02-01,XK,005,6.9
2018-01-01,XK,005,7.1
2017-12-01,XK,005,6.83
2017-11-01,XK,005,6.72
2017-10-01,XK,005,6.82
2017-09-01,XK,005,6.51
2017-08-01,XK,005,6.84
2017-07-01,XK,005,6.39
2017-06-01,XK,005,6.79
2017-05-01,XK,005,6.78
2017-04-01,XK,005,6.57
2017-03-01,XK,005,7.04
2017-02-01,XK,005,7.03
2017-01-01,XK,005,7.68
2016-12-01,XK,005,7.22
