date,country_code,indicator_code,value
2017-01-01,YT,081,2900.74
2016-01-01,YT,081,2542.69
2015-01-01,YT,081,2308.64
2017-01-01,YT,082,13.2
2016-01-01,YT,082,9.8
2015-01-01,YT,082,10.7
2017-01-01,YT,083,13.2
2016-01-01,YT,083,9.8
2015-01-01,YT,083,10.7
2017-01-01,YT,094,13.2
2016-01-01,YT,094,9.8
2015-01-01,YT,094,10.7
2017-01-01,YT,095,13.2
2016-01-01,YT,095,9.8
2015-01-01,YT,095,10.7
2017-01-01,YT,096,11400.0
2016-01-01,YT,096,10300.0
2015-01-01,YT,096,9800.0
2017-01-01,YT,097,10300.0
2016-01-01,YT,097,9500.0
2015-01-01,YT,097,9100.0
2016-01-01,YT,108,457.46
2015-01-01,YT,108,410.33
2019-01-01,YT,125,1.092695
2018-01-01,YT,125,0.973535
2019-01-01,YT,126,20671.0
2018-01-01,YT,126,19533.0
2017-01-01,YT,126,14356.0
2016-01-01,YT,126,13883.0
2015-12-01,YT,172,128.295
2015-11-01,YT,172,39.4272
2015-10-01,YT,172,3.47272
2015-09-01,YT,172,2.01363
2015-08-01,YT,172,217.604
2015-07-01,YT,172,38.0045
2015-06-01,YT,172,110.872
2015-05-01,YT,172,28.7545
2015-04-01,YT,172,71.7045
2015-03-01,YT,172,232.209
2015-02-01,YT,172,173.486
2015-01-01,YT,172,541.631
2014-12-01,YT,172,343.404
2014-11-01,YT,172,311.563
2014-10-01,YT,172,7.35454
2014-09-01,YT,172,3.04545
2014-08-01,YT,172,0.9
2014-07-01,YT,172,80.0136
2014-06-01,YT,172,9.18636
2014-05-01,YT,172,19.65
2014-04-01,YT,172,41.2181
2014-03-01,YT,172,407.109
2014-02-01,YT,172,394.145
2014-01-01,YT,172,273.972
2013-12-01,YT,172,143.045
2013-11-01,YT,172,16.45
2013-10-01,YT,172,71.5999
2013-09-01,YT,172,30.4863
2013-08-01,YT,172,15.6818
2013-07-01,YT,172,28.959
2013-06-01,YT,172,13.2045
2013-05-01,YT,172,25.3681
2013-04-01,YT,172,122.195
2013-03-01,YT,172,173.959
2013-02-01,YT,172,94.8499
2013-01-01,YT,172,113.5
2012-12-01,YT,172,93.0409
2012-11-01,YT,172,82.5863
2012-10-01,YT,172,6.68636
2012-09-01,YT,172,54.0045
2012-08-01,YT,172,8.05454
2012-07-01,YT,172,38.1136
2012-06-01,YT,172,142.918
2012-05-01,YT,172,147.368
2012-04-01,YT,172,315.44
2012-03-01,YT,172,136.436
2012-02-01,YT,172,261.909
2012-01-01,YT,172,353.763
2011-12-01,YT,172,145.159
2011-11-01,YT,172,71.6727
2011-10-01,YT,172,3.99545
2011-09-01,YT,172,18.2727
2011-08-01,YT,172,29.0045
2011-07-01,YT,172,68.2409
2011-06-01,YT,172,253.727
2011-05-01,YT,172,142.354
2011-04-01,YT,172,165.613
2011-03-01,YT,172,242.899
2011-02-01,YT,172,327.381
2011-01-01,YT,172,255.586
2010-12-01,YT,172,114.627
2010-11-01,YT,172,38.9681
2010-10-01,YT,172,34.8545
2010-09-01,YT,172,7.62272
2010-08-01,YT,172,51.2818
2010-07-01,YT,172,8.31818
2010-06-01,YT,172,298.422
2010-05-01,YT,172,24.8318
2010-04-01,YT,172,115.504
