date,country_code,indicator_code,value
1991-11-01,YU,002,257.58
1991-10-01,YU,002,230.94
1991-09-01,YU,002,201.24
1991-08-01,YU,002,187.77
1991-07-01,YU,002,179.72
1991-06-01,YU,002,165.68
1991-05-01,YU,002,162.09
1991-04-01,YU,002,152.01
1991-03-01,YU,002,141.9
1991-02-01,YU,002,135.44
1991-01-01,YU,002,135.84
1990-12-01,YU,002,131.01
1990-11-01,YU,002,129.4
1990-10-01,YU,002,127.42
1990-09-01,YU,002,116.69
1990-08-01,YU,002,110.55
1990-07-01,YU,002,103.22
1990-06-01,YU,002,94.18
1990-05-01,YU,002,84.9
1990-04-01,YU,002,79.37
1990-03-01,YU,002,79.25
1990-02-01,YU,002,72.39
1990-01-01,YU,002,71.62
1989-12-01,YU,002,65.48
1989-11-01,YU,002,51.04
1989-10-01,YU,002,35.02
1989-09-01,YU,002,22.98
1989-08-01,YU,002,15.55
1989-07-01,YU,002,11.29
1989-06-01,YU,002,8.05
1989-05-01,YU,002,6.18
1989-04-01,YU,002,4.55
1989-03-01,YU,002,3.71
1989-02-01,YU,002,2.88
1989-01-01,YU,002,2.4
1988-12-01,YU,002,2.05
1988-11-01,YU,002,1.74
1988-10-01,YU,002,1.54
1988-09-01,YU,002,1.19
1988-08-01,YU,002,1.09
1988-07-01,YU,002,0.96
1988-06-01,YU,002,0.85
1988-05-01,YU,002,0.82
1988-04-01,YU,002,0.82
1988-03-01,YU,002,0.78
1988-02-01,YU,002,0.72
1988-01-01,YU,002,0.63
1987-12-01,YU,002,0.64
1987-11-01,YU,002,0.56
1987-10-01,YU,002,0.53
1987-09-01,YU,002,0.45
1987-08-01,YU,002,0.41
1987-07-01,YU,002,0.41
1987-06-01,YU,002,0.35
1987-05-01,YU,002,0.33
1987-04-01,YU,002,0.32
1987-03-01,YU,002,0.29
1987-02-01,YU,002,0.29
1987-01-01,YU,002,0.28
1986-12-01,YU,002,0.3
1986-11-01,YU,002,0.25
1986-10-01,YU,002,0.25
1986-09-01,YU,002,0.21
1986-08-01,YU,002,0.19
1986-07-01,YU,002,0.2
1986-06-01,YU,002,0.18
1986-05-01,YU,002,0.18
1986-04-01,YU,002,0.17
1986-03-01,YU,002,0.16
1986-02-01,YU,002,0.15
1986-01-01,YU,002,0.14
1985-12-01,YU,002,0.14
1985-11-01,YU,002,0.12
1985-10-01,YU,002,0.12
1985-09-01,YU,002,0.1
1985-08-01,YU,002,0.1
1985-07-01,YU,002,0.1
1985-06-01,YU,002,0.09
1985-05-01,YU,002,0.08
1985-04-01,YU,002,0.08
1985-03-01,YU,002,0.08
1985-02-01,YU,002,0.07
1985-01-01,YU,002,0.07
1984-12-01,YU,002,0.07
1984-11-01,YU,002,0.07
1984-10-01,YU,002,0.06
1984-09-01,YU,002,0.05
1984-08-01,YU,002,0.06
1984-07-01,YU,002,0.05
1984-06-01,YU,002,0.05
1984-05-01,YU,002,0.05
1984-04-01,YU,002,0.05
1984-03-01,YU,002,0.05
1984-02-01,YU,002,0.05
1984-01-01,YU,002,0.04
1983-12-01,YU,002,0.05
1983-11-01,YU,002,0.04
1983-10-01,YU,002,0.04
1983-09-01,YU,002,0.04
1983-08-01,YU,002,0.04
1983-07-01,YU,002,0.04
1983-06-01,YU,002,0.04
1983-05-01,YU,002,0.04
1983-04-01,YU,002,0.03
1983-03-01,YU,002,0.03
1983-02-01,YU,002,0.03
1983-01-01,YU,002,0.03
1982-12-01,YU,002,0.03
1982-11-01,YU,002,0.03
1982-10-01,YU,002,0.03
1982-09-01,YU,002,0.03
1982-08-01,YU,002,0.03
1982-07-01,YU,002,0.03
1982-06-01,YU,002,0.03
1982-05-01,YU,002,0.03
1982-04-01,YU,002,0.03
1982-03-01,YU,002,0.03
1982-02-01,YU,002,0.03
1982-01-01,YU,002,0.03
1981-12-01,YU,002,0.03
1981-11-01,YU,002,0.03
1981-10-01,YU,002,0.03
1981-09-01,YU,002,0.02
1981-08-01,YU,002,0.02
1981-07-01,YU,002,0.02
1981-06-01,YU,002,0.02
1981-05-01,YU,002,0.02
1981-04-01,YU,002,0.02
1981-03-01,YU,002,0.02
1981-02-01,YU,002,0.02
1981-01-01,YU,002,0.02
1980-12-01,YU,002,0.02
1980-11-01,YU,002,0.02
1980-10-01,YU,002,0.02
1980-09-01,YU,002,0.02
1980-08-01,YU,002,0.02
1980-07-01,YU,002,0.02
1980-06-01,YU,002,0.02
1980-05-01,YU,002,0.02
1980-04-01,YU,002,0.02
1980-03-01,YU,002,0.02
1980-02-01,YU,002,0.01
1980-01-01,YU,002,0.01
1979-12-01,YU,002,0.02
1979-11-01,YU,002,0.01
1979-10-01,YU,002,0.02
1979-09-01,YU,002,0.01
1979-08-01,YU,002,0.01
1979-07-01,YU,002,0.01
1979-06-01,YU,002,0.01
1979-05-01,YU,002,0.01
1979-04-01,YU,002,0.01
1979-03-01,YU,002,0.01
1979-02-01,YU,002,0.01
1979-01-01,YU,002,0.01
1978-12-01,YU,002,0.01
1978-11-01,YU,002,0.01
1978-10-01,YU,002,0.01
1978-09-01,YU,002,0.01
1978-08-01,YU,002,0.01
1978-07-01,YU,002,0.01
1978-06-01,YU,002,0.01
1978-05-01,YU,002,0.01
1978-04-01,YU,002,0.01
1978-03-01,YU,002,0.01
1978-02-01,YU,002,0.01
1978-01-01,YU,002,0.01
1977-12-01,YU,002,0.01
1977-11-01,YU,002,0.01
1977-10-01,YU,002,0.01
1977-09-01,YU,002,0.01
1977-08-01,YU,002,0.01
1977-07-01,YU,002,0.01
1977-06-01,YU,002,0.01
1977-05-01,YU,002,0.01
1977-04-01,YU,002,0.01
1977-03-01,YU,002,0.01
1977-02-01,YU,002,0.01
1977-01-01,YU,002,0.01
1976-12-01,YU,002,0.01
1976-11-01,YU,002,0.01
1976-10-01,YU,002,0.01
1976-09-01,YU,002,0.01
1976-08-01,YU,002,0.01
1976-07-01,YU,002,0.01
1976-06-01,YU,002,0.01
1976-05-01,YU,002,0.01
1976-04-01,YU,002,0.01
1976-03-01,YU,002,0.01
1976-02-01,YU,002,0.01
1976-01-01,YU,002,0.01
1975-12-01,YU,002,0.01
1975-11-01,YU,002,0.01
1975-10-01,YU,002,0.01
1975-09-01,YU,002,0.01
1975-08-01,YU,002,0.01
1975-07-01,YU,002,0.01
1975-06-01,YU,002,0.01
1975-05-01,YU,002,0.01
1975-04-01,YU,002,0.01
1975-03-01,YU,002,0.01
1975-02-01,YU,002,0.01
1975-01-01,YU,002,0.01
1974-12-01,YU,002,0.01
1974-11-01,YU,002,0.01
1974-10-01,YU,002,0.01
1974-09-01,YU,002,0.01
1974-08-01,YU,002,0.01
1974-07-01,YU,002,0.01
1974-06-01,YU,002,0.01
1974-05-01,YU,002,0.01
1974-04-01,YU,002,0.01
1974-03-01,YU,002,0.01
1974-02-01,YU,002,0.01
1974-01-01,YU,002,0.01
1973-12-01,YU,002,0.01
1973-11-01,YU,002,0.01
1973-10-01,YU,002,0.01
1973-09-01,YU,002,0.0
1973-08-01,YU,002,0.0
1973-07-01,YU,002,0.0
1973-06-01,YU,002,0.0
1973-05-01,YU,002,0.0
1973-04-01,YU,002,0.0
1973-03-01,YU,002,0.0
1973-02-01,YU,002,0.0
1973-01-01,YU,002,0.0
1972-12-01,YU,002,0.0
1972-11-01,YU,002,0.0
1972-10-01,YU,002,0.0
1972-09-01,YU,002,0.0
1972-08-01,YU,002,0.0
1972-07-01,YU,002,0.0
1972-06-01,YU,002,0.0
1972-05-01,YU,002,0.0
1972-04-01,YU,002,0.0
1972-03-01,YU,002,0.0
1972-02-01,YU,002,0.0
1972-01-01,YU,002,0.0
1971-12-01,YU,002,0.0
1971-11-01,YU,002,0.0
1971-10-01,YU,002,0.0
1971-09-01,YU,002,0.0
1971-08-01,YU,002,0.0
1971-07-01,YU,002,0.0
1971-06-01,YU,002,0.0
1971-05-01,YU,002,0.0
1971-04-01,YU,002,0.0
1971-03-01,YU,002,0.0
1971-02-01,YU,002,0.0
1971-01-01,YU,002,0.0
1970-12-01,YU,002,0.0
1970-11-01,YU,002,0.0
1970-10-01,YU,002,0.0
1970-09-01,YU,002,0.0
1970-08-01,YU,002,0.0
1970-07-01,YU,002,0.0
1970-06-01,YU,002,0.0
1970-05-01,YU,002,0.0
1970-04-01,YU,002,0.0
1970-03-01,YU,002,0.0
1970-02-01,YU,002,0.0
1970-01-01,YU,002,0.0
1969-12-01,YU,002,0.0
1969-11-01,YU,002,0.0
1969-10-01,YU,002,0.0
1969-09-01,YU,002,0.0
1969-08-01,YU,002,0.0
1969-07-01,YU,002,0.0
1969-06-01,YU,002,0.0
1969-05-01,YU,002,0.0
1969-04-01,YU,002,0.0
1969-03-01,YU,002,0.0
1969-02-01,YU,002,0.0
1969-01-01,YU,002,0.0
1968-12-01,YU,002,0.0
1968-11-01,YU,002,0.0
1968-10-01,YU,002,0.0
1968-09-01,YU,002,0.0
1968-08-01,YU,002,0.0
1968-07-01,YU,002,0.0
1968-06-01,YU,002,0.0
1968-05-01,YU,002,0.0
1968-04-01,YU,002,0.0
1968-03-01,YU,002,0.0
1968-02-01,YU,002,0.0
