date,country_code,indicator_code,value
2019-07-01,ZA,001,-0.03
2019-04-01,ZA,001,0.15
2019-01-01,ZA,001,-0.53
2018-10-01,ZA,001,2.21
2018-07-01,ZA,001,1.16
2018-04-01,ZA,001,1.17
2018-01-01,ZA,001,1.02
2017-10-01,ZA,001,0.63
2017-07-01,ZA,001,2.27
2017-04-01,ZA,001,3.57
2017-01-01,ZA,001,3.43
2016-10-01,ZA,001,0.32
2016-07-01,ZA,001,0.03
2016-04-01,ZA,001,-0.72
2016-01-01,ZA,001,1.4
2015-10-01,ZA,001,4.56
2015-07-01,ZA,001,4.7
2015-04-01,ZA,001,3.73
2015-01-01,ZA,001,2.68
2014-10-01,ZA,001,0.94
2014-07-01,ZA,001,0.54
2014-04-01,ZA,001,2.74
2014-01-01,ZA,001,3.41
2013-10-01,ZA,001,4.5
2013-07-01,ZA,001,3.26
2013-04-01,ZA,001,2.52
2013-01-01,ZA,001,1.92
2012-10-01,ZA,001,-2.97
2012-07-01,ZA,001,0.09
2012-04-01,ZA,001,0.09
2012-01-01,ZA,001,2.74
2011-10-01,ZA,001,13.98
2011-07-01,ZA,001,12.12
2011-04-01,ZA,001,9.62
2011-01-01,ZA,001,6.33
2010-10-01,ZA,001,-0.89
2010-07-01,ZA,001,-1.2
2010-04-01,ZA,001,-2.3
2010-01-01,ZA,001,-4.11
2009-10-01,ZA,001,-4.29
2009-07-01,ZA,001,-3.82
2009-04-01,ZA,001,-2.62
2009-01-01,ZA,001,0.1
2008-10-01,ZA,001,1.73
2008-07-01,ZA,001,0.34
2008-04-01,ZA,001,3.02
2008-01-01,ZA,001,2.23
2007-10-01,ZA,001,0.06
2007-07-01,ZA,001,0.06
2007-04-01,ZA,001,0.67
2007-01-01,ZA,001,0.67
2006-10-01,ZA,001,4.35
2006-07-01,ZA,001,4.35
2006-04-01,ZA,001,5.87
2006-01-01,ZA,001,5.87
2005-10-01,ZA,001,6.27
2005-07-01,ZA,001,6.27
2005-04-01,ZA,001,5.75
2005-01-01,ZA,001,5.75
2004-10-01,ZA,001,2.56
