date,country_code,indicator_code,value
1989-01-01,ZM,001,-0.31
1988-01-01,ZM,001,-0.31
1987-01-01,ZM,001,0.36
1986-01-01,ZM,001,-0.27
2017-01-01,ZM,004,82934.0
2016-01-01,ZM,004,73460.0
2015-01-01,ZM,004,68107.0
2014-01-01,ZM,004,64854.0
2013-01-01,ZM,004,61263.0
2012-01-01,ZM,004,52618.0
2011-01-01,ZM,004,46149.0
2010-01-01,ZM,004,35995.0
2009-01-01,ZM,004,22416.0
2008-01-01,ZM,004,19199.0
2007-01-01,ZM,004,18726.0
2006-01-01,ZM,004,8966.0
2005-01-01,ZM,004,8077.0
2004-01-01,ZM,004,6932.0
2003-01-01,ZM,004,5707.0
2002-01-01,ZM,004,4489.0
2001-01-01,ZM,004,3651.0
2000-01-01,ZM,004,2705.0
1999-01-01,ZM,004,2017.0
1998-01-01,ZM,004,1607.0
1997-01-01,ZM,004,1534.0
1996-01-01,ZM,004,1359.0
1995-01-01,ZM,004,1072.0
1994-01-01,ZM,004,799.0
1993-01-01,ZM,004,493.0
1992-01-01,ZM,004,208.0
1991-01-01,ZM,004,75.0
1990-01-01,ZM,004,40.0
1989-01-01,ZM,004,20.0
1988-01-01,ZM,004,10.0
1987-01-01,ZM,004,8.0
1986-01-01,ZM,004,6.0
1985-01-01,ZM,004,2.0
1984-01-01,ZM,004,2.0
1983-01-01,ZM,004,1.0
1982-01-01,ZM,004,1.0
1981-01-01,ZM,004,1.0
1980-01-01,ZM,004,1.0
1979-01-01,ZM,004,1.0
1978-01-01,ZM,004,1.0
1977-01-01,ZM,004,1.0
1976-01-01,ZM,004,1.0
1975-01-01,ZM,004,1.0
1974-01-01,ZM,004,1.0
1973-01-01,ZM,004,1.0
1972-01-01,ZM,004,1.0
1971-01-01,ZM,004,0.0
1970-01-01,ZM,004,1.0
1969-01-01,ZM,004,1.0
1968-01-01,ZM,004,1.0
1967-01-01,ZM,004,0.0
1966-01-01,ZM,004,0.0
1965-01-01,ZM,004,0.0
1964-01-01,ZM,004,0.0
1963-01-01,ZM,004,0.0
1962-01-01,ZM,004,0.0
1961-01-01,ZM,004,0.0
1960-01-01,ZM,004,0.0
1959-01-01,ZM,004,0.0
1958-01-01,ZM,004,0.0
1957-01-01,ZM,004,0.0
2020-03-01,ZM,005,11.5
2020-02-01,ZM,005,11.5
2020-01-01,ZM,005,11.5
2019-12-01,ZM,005,11.5
2019-11-01,ZM,005,11.5
2019-10-01,ZM,005,10.25
2019-09-01,ZM,005,10.25
2019-08-01,ZM,005,10.25
2019-07-01,ZM,005,10.25
2019-06-01,ZM,005,10.25
2019-05-01,ZM,005,10.25
2019-04-01,ZM,005,9.75
2019-03-01,ZM,005,9.75
2019-02-01,ZM,005,9.75
2019-01-01,ZM,005,9.75
2018-12-01,ZM,005,9.75
2018-11-01,ZM,005,9.75
2018-10-01,ZM,005,9.75
2018-09-01,ZM,005,9.75
2018-08-01,ZM,005,9.75
2018-07-01,ZM,005,9.75
2018-06-01,ZM,005,9.75
2018-05-01,ZM,005,9.75
2018-04-01,ZM,005,9.75
2018-03-01,ZM,005,9.75
2018-02-01,ZM,005,9.75
2018-01-01,ZM,005,10.25
2017-12-01,ZM,005,10.25
2017-11-01,ZM,005,10.25
2017-10-01,ZM,005,11.0
2017-09-01,ZM,005,11.0
2017-08-01,ZM,005,11.0
2017-07-01,ZM,005,12.5
2017-06-01,ZM,005,12.5
2017-05-01,ZM,005,12.5
2017-04-01,ZM,005,14.0
2017-03-01,ZM,005,14.0
2017-02-01,ZM,005,14.0
2017-01-01,ZM,005,15.5
2016-12-01,ZM,005,15.5
2016-11-01,ZM,005,15.5
2016-10-01,ZM,005,15.5
2016-09-01,ZM,005,15.5
2016-08-01,ZM,005,15.5
2016-07-01,ZM,005,15.5
2016-06-01,ZM,005,15.5
2016-05-01,ZM,005,15.5
2016-04-01,ZM,005,15.5
2016-03-01,ZM,005,15.5
2016-02-01,ZM,005,15.5
2016-01-01,ZM,005,15.5
2015-12-01,ZM,005,15.5
2015-11-01,ZM,005,15.5
2015-10-01,ZM,005,15.5
2015-09-01,ZM,005,12.5
2015-08-01,ZM,005,12.5
2015-07-01,ZM,005,12.5
2015-06-01,ZM,005,12.5
2015-05-01,ZM,005,12.5
2015-04-01,ZM,005,12.5
2015-03-01,ZM,005,12.5
2015-02-01,ZM,005,12.5
2015-01-01,ZM,005,12.5
2014-12-01,ZM,005,12.5
2014-11-01,ZM,005,12.5
2014-10-01,ZM,005,12.0
2014-09-01,ZM,005,12.0
2014-08-01,ZM,005,12.0
2014-07-01,ZM,005,12.0
2014-06-01,ZM,005,12.0
2014-05-01,ZM,005,12.0
