date,country_code,indicator_code,value
2002-01-01,ZW,001,-9.5
2001-01-01,ZW,001,-4.32
2000-01-01,ZW,001,-6.01
1999-01-01,ZW,001,-2.41
1998-01-01,ZW,001,1.91
1997-01-01,ZW,001,3.93
1996-01-01,ZW,001,2.71
1995-01-01,ZW,001,-1.91
1994-01-01,ZW,001,1.99
1993-01-01,ZW,001,0.21
1992-01-01,ZW,001,-0.63
1991-01-01,ZW,001,4.36
1990-01-01,ZW,001,2.15
1989-01-01,ZW,001,3.18
1988-01-01,ZW,001,4.21
1987-01-01,ZW,001,0.4
1986-01-01,ZW,001,2.47
2017-01-01,ZW,004,4333.0
2016-01-01,ZW,004,4098.0
2015-01-01,ZW,004,3825.0
2014-01-01,ZW,004,4080.0
2013-01-01,ZW,004,4198.0
2012-01-01,ZW,004,4307.0
2011-01-01,ZW,004,4908.0
2010-01-01,ZW,004,3569.0
2009-01-01,ZW,004,1883.0
1969-01-01,ZW,004,0.0
1965-01-01,ZW,004,0.0
1964-01-01,ZW,004,0.0
1963-01-01,ZW,004,0.0
2020-02-01,ZW,005,26.96
2020-01-01,ZW,005,27.18
2019-12-01,ZW,005,28.09
2019-11-01,ZW,005,27.68
2019-10-01,ZW,005,27.65
2019-09-01,ZW,005,27.86
2019-08-01,ZW,005,22.62
2019-07-01,ZW,005,12.14
2019-06-01,ZW,005,11.48
2019-05-01,ZW,005,7.27
2019-04-01,ZW,005,7.38
2019-03-01,ZW,005,7.31
2019-02-01,ZW,005,7.3
2019-01-01,ZW,005,7.4
2018-12-01,ZW,005,7.39
2018-11-01,ZW,005,7.42
2018-10-01,ZW,005,7.38
2018-09-01,ZW,005,7.11
2018-08-01,ZW,005,7.1
2018-07-01,ZW,005,6.97
2018-06-01,ZW,005,7.14
2018-05-01,ZW,005,7.09
2018-04-01,ZW,005,7.08
2018-03-01,ZW,005,6.98
2018-02-01,ZW,005,6.93
2018-01-01,ZW,005,6.99
2017-12-01,ZW,005,7.0
2017-11-01,ZW,005,7.03
2017-10-01,ZW,005,7.06
2017-09-01,ZW,005,7.01
2017-08-01,ZW,005,6.95
2017-07-01,ZW,005,7.05
2017-06-01,ZW,005,7.05
2017-05-01,ZW,005,7.03
2017-04-01,ZW,005,7.02
2017-03-01,ZW,005,6.57
2017-02-01,ZW,005,6.52
2017-01-01,ZW,005,6.68
2016-12-01,ZW,005,6.87
2016-11-01,ZW,005,6.99
2016-10-01,ZW,005,6.93
2016-09-01,ZW,005,6.95
2016-08-01,ZW,005,6.84
2016-07-01,ZW,005,6.79
2016-06-01,ZW,005,7.48
2016-05-01,ZW,005,7.35
2016-04-01,ZW,005,7.2
2016-03-01,ZW,005,7.29
2016-02-01,ZW,005,7.29
2016-01-01,ZW,005,7.38
2015-12-01,ZW,005,7.82
2015-11-01,ZW,005,7.67
2015-10-01,ZW,005,7.28
2015-09-01,ZW,005,8.47
2015-08-01,ZW,005,8.51
2015-07-01,ZW,005,8.56
2015-06-01,ZW,005,8.42
2015-05-01,ZW,005,8.79
2015-04-01,ZW,005,8.84
2015-03-01,ZW,005,8.75
2015-02-01,ZW,005,9.73
2015-01-01,ZW,005,9.66
2014-12-01,ZW,005,9.68
2014-11-01,ZW,005,9.97
2014-10-01,ZW,005,9.9
2014-09-01,ZW,005,9.57
2014-08-01,ZW,005,9.45
2014-07-01,ZW,005,9.45
2014-06-01,ZW,005,9.33
2014-05-01,ZW,005,9.25
2014-04-01,ZW,005,9.12
2014-03-01,ZW,005,9.27
2014-02-01,ZW,005,9.32
2014-01-01,ZW,005,9.3
2013-12-01,ZW,005,9.35
2013-11-01,ZW,005,9.4
2013-10-01,ZW,005,9.25
2013-09-01,ZW,005,9.37
2013-08-01,ZW,005,9.32
2013-07-01,ZW,005,9.65
2013-06-01,ZW,005,9.46
2013-05-01,ZW,005,9.89
2013-04-01,ZW,005,9.66
2013-03-01,ZW,005,10.19
2013-02-01,ZW,005,10.53
2013-01-01,ZW,005,10.81
2012-12-01,ZW,005,10.4
2012-11-01,ZW,005,10.88
2012-10-01,ZW,005,11.03
2012-09-01,ZW,005,11.14
2012-08-01,ZW,005,10.74
2012-07-01,ZW,005,10.88
2012-06-01,ZW,005,11.58
2012-05-01,ZW,005,11.86
2012-04-01,ZW,005,13.06
2012-03-01,ZW,005,12.53
2008-01-01,ZW,005,1175.0
2007-12-01,ZW,005,775.0
2007-11-01,ZW,005,600.0
2007-10-01,ZW,005,600.0
2007-09-01,ZW,005,600.0
2007-08-01,ZW,005,600.0
